barangay,date,incident_count
Barangka Ilaya,2017-11,1
Barangka Ilaya,2018-04,1
Barangka Ilaya,2018-05,1
Barangka Ilaya,2018-12,1
Barangka Ilaya,2019-09,1
Barangka Ilaya,2020-05,1
Barangka Ilaya,2020-07,1
Barangka Ilaya,2020-12,1
Barangka Ilaya,2021-01,1
Barangka Ilaya,2021-04,1
Barangka Ilaya,2021-08,1
Barangka Ilaya,2021-12,1
Barangka Ilaya,2022-03,1
Barangka Ilaya,2022-11,1
Barangka Ilaya,2023-02,1
Barangka Ilaya,2023-03,1
Barangka Ilaya,2023-06,2
Barangka Ilaya,2023-07,1
Barangka Ilaya,2024-04,1
Barangka Ilaya,2024-08,1
Barangka Ilaya,2024-11,2
Barangka Itaas,2010-01,1
Barangka Itaas,2010-10,1
Barangka Itaas,2011-10,1
Barangka Itaas,2012-07,1
Barangka Itaas,2013-03,2
Barangka Itaas,2013-04,1
Barangka Itaas,2013-07,2
Barangka Itaas,2013-08,1
Barangka Itaas,2013-09,1
Barangka Itaas,2013-12,1
Barangka Itaas,2014-03,1
Barangka Itaas,2014-12,1
Barangka Itaas,2015-02,1
Barangka Itaas,2015-04,1
Barangka Itaas,2015-12,1
Barangka Itaas,2016-01,1
Barangka Itaas,2016-12,1
Barangka Itaas,2017-04,1
Barangka Itaas,2018-08,1
Barangka Itaas,2018-09,1
Barangka Itaas,2018-10,1
Barangka Itaas,2018-11,1
Barangka Itaas,2019-02,1
Barangka Itaas,2019-12,1
Barangka Itaas,2021-09,1
Barangka Itaas,2022-07,1
Barangka Itaas,2022-08,1
Barangka Itaas,2024-05,1
Barangka Itaas,2024-06,1
Buayang Bato,2011-01,2
Buayang Bato,2011-02,2
Buayang Bato,2011-04,1
Buayang Bato,2013-12,1
Buayang Bato,2014-04,1
Buayang Bato,2014-11,1
Buayang Bato,2015-02,1
Buayang Bato,2015-03,2
Buayang Bato,2015-10,1
Buayang Bato,2016-02,1
Buayang Bato,2016-04,2
Buayang Bato,2016-07,2
Buayang Bato,2017-01,1
Buayang Bato,2017-02,1
Buayang Bato,2017-08,2
Buayang Bato,2017-10,1
Buayang Bato,2018-05,1
Buayang Bato,2018-12,1
Buayang Bato,2019-12,1
Buayang Bato,2020-09,1
Buayang Bato,2024-08,1
Burol,2012-04,1
Burol,2012-06,1
Burol,2012-09,1
Burol,2013-10,1
Burol,2014-02,1
Burol,2015-05,1
Burol,2017-10,1
Daang Bakal,2011-04,1
Daang Bakal,2012-01,1
Daang Bakal,2012-02,1
Daang Bakal,2012-03,2
Daang Bakal,2014-03,1
Daang Bakal,2014-09,1
Daang Bakal,2014-10,1
Daang Bakal,2015-04,1
Daang Bakal,2015-05,1
Daang Bakal,2015-07,1
Daang Bakal,2016-05,2
Daang Bakal,2017-05,1
Daang Bakal,2018-05,2
Daang Bakal,2019-10,2
Daang Bakal,2020-01,1
Daang Bakal,2020-03,1
Daang Bakal,2021-09,1
Daang Bakal,2022-04,1
Daang Bakal,2022-12,1
Daang Bakal,2024-07,1
Hagdang Bato Itaas,2010-01,1
Hagdang Bato Itaas,2011-09,1
Hagdang Bato Itaas,2012-12,1
Hagdang Bato Itaas,2013-01,1
Hagdang Bato Itaas,2013-12,1
Hagdang Bato Itaas,2014-02,1
Hagdang Bato Itaas,2018-04,1
Hagdang Bato Itaas,2018-06,1
Hagdang Bato Itaas,2019-11,1
Hagdang Bato Itaas,2020-11,1
Hagdang Bato Itaas,2022-07,1
Hagdang Bato Itaas,2022-08,1
Hagdang Bato Itaas,2023-10,1
Hagdang Bato Itaas,2023-11,1
Hagdang Bato Libis,2010-09,1
Hagdang Bato Libis,2011-02,1
Hagdang Bato Libis,2012-03,1
Hagdang Bato Libis,2012-10,1
Hagdang Bato Libis,2013-02,1
Hagdang Bato Libis,2013-06,1
Hagdang Bato Libis,2015-12,1
Hagdang Bato Libis,2018-07,1
Hagdang Bato Libis,2018-10,1
Hagdang Bato Libis,2019-06,1
Hagdang Bato Libis,2020-06,1
Hagdang Bato Libis,2021-02,1
Hagdang Bato Libis,2021-10,1
Hagdang Bato Libis,2022-07,1
Hagdang Bato Libis,2023-02,1
Hagdang Bato Libis,2023-06,1
Harapin ang Bukas,2011-02,1
Harapin ang Bukas,2011-05,1
