Barangay,Date,Year,Month,Record_Type,Value
Addition Hills,2013-06-30,2013,7,fitted,1.180970
Addition Hills,2013-06-30,2013,7,moving_avg_6,1.500000
Addition Hills,2013-07-31,2013,8,actual,2.000000
Addition Hills,2013-07-31,2013,8,fitted,0.877884
Addition Hills,2013-07-31,2013,8,moving_avg_6,1.500000
Addition Hills,2013-08-31,2013,9,actual,0.000000
Addition Hills,2013-08-31,2013,9,fitted,1.401794
Addition Hills,2013-08-31,2013,9,moving_avg_6,1.333333
Addition Hills,2013-09-30,2013,10,actual,0.000000
Addition Hills,2013-09-30,2013,10,fitted,0.905260
Addition Hills,2013-09-30,2013,10,moving_avg_6,0.666667
Addition Hills,2013-10-31,2013,11,actual,2.000000
Addition Hills,2013-10-31,2013,11,fitted,0.810865
Addition Hills,2013-10-31,2013,11,moving_avg_6,0.833333
Addition Hills,2013-11-30,2013,12,actual,3.000000
Addition Hills,2013-11-30,2013,12,fitted,1.073336
Addition Hills,2013-11-30,2013,12,moving_avg_6,1.166667
Addition Hills,2013-12-31,2014,1,actual,1.000000
Addition Hills,2013-12-31,2014,1,fitted,1.245460
Addition Hills,2013-12-31,2014,1,moving_avg_6,1.333333
Addition Hills,2014-01-31,2014,2,actual,1.000000
Addition Hills,2014-01-31,2014,2,fitted,1.029372
Addition Hills,2014-01-31,2014,2,moving_avg_6,1.166667
Addition Hills,2014-02-28,2014,3,actual,1.000000
Addition Hills,2014-02-28,2014,3,fitted,1.099948
Addition Hills,2014-02-28,2014,3,moving_avg_6,1.333333
Addition Hills,2014-03-31,2014,4,actual,1.000000
Addition Hills,2014-03-31,2014,4,fitted,0.936326
Addition Hills,2014-03-31,2014,4,moving_avg_6,1.500000
Addition Hills,2014-04-30,2014,5,actual,3.000000
Addition Hills,2014-04-30,2014,5,fitted,1.104603
Addition Hills,2014-04-30,2014,5,moving_avg_6,1.666667
Addition Hills,2014-05-31,2014,6,actual,1.000000
Addition Hills,2014-05-31,2014,6,fitted,1.335660
Addition Hills,2014-05-31,2014,6,moving_avg_6,1.333333
Addition Hills,2014-06-30,2014,7,actual,3.000000
Addition Hills,2014-06-30,2014,7,fitted,1.300176
Addition Hills,2014-06-30,2014,7,moving_avg_6,1.666667
Addition Hills,2014-07-31,2014,8,actual,0.000000
Addition Hills,2014-07-31,2014,8,fitted,1.324711
Addition Hills,2014-07-31,2014,8,moving_avg_6,1.500000
Addition Hills,2014-08-31,2014,9,actual,4.000000
Addition Hills,2014-08-31,2014,9,fitted,1.127115
Addition Hills,2014-08-31,2014,9,moving_avg_6,2.000000
Addition Hills,2014-09-30,2014,10,actual,0.000000
Addition Hills,2014-09-30,2014,10,fitted,1.592893
Addition Hills,2014-09-30,2014,10,moving_avg_6,1.833333
Addition Hills,2014-10-31,2014,11,actual,1.000000
Addition Hills,2014-10-31,2014,11,fitted,0.914883
Addition Hills,2014-10-31,2014,11,moving_avg_6,1.500000
Addition Hills,2014-11-30,2014,12,actual,0.000000
Addition Hills,2014-11-30,2014,12,fitted,1.006794
Addition Hills,2014-11-30,2014,12,moving_avg_6,1.333333
Addition Hills,2014-12-31,2015,1,actual,0.000000
Addition Hills,2014-12-31,2015,1,fitted,0.893556
Addition Hills,2014-12-31,2015,1,moving_avg_6,0.833333
Addition Hills,2015-01-31,2015,2,actual,0.000000
Addition Hills,2015-01-31,2015,2,fitted,0.787739
Addition Hills,2015-01-31,2015,2,moving_avg_6,0.833333
Addition Hills,2015-02-28,2015,3,actual,2.000000
Addition Hills,2015-02-28,2015,3,fitted,0.706075
Addition Hills,2015-02-28,2015,3,moving_avg_6,0.500000
Addition Hills,2015-03-31,2015,4,actual,4.000000
Addition Hills,2015-03-31,2015,4,fitted,0.958622
Addition Hills,2015-03-31,2015,4,moving_avg_6,1.166667
Addition Hills,2015-04-30,2015,5,actual,1.000000
Addition Hills,2015-04-30,2015,5,fitted,1.091628
Addition Hills,2015-04-30,2015,5,moving_avg_6,1.166667
Addition Hills,2015-05-31,2015,6,actual,5.000000
Addition Hills,2015-05-31,2015,6,fitted,1.047731
Addition Hills,2015-05-31,2015,6,moving_avg_6,2.000000
Addition Hills,2015-06-30,2015,7,actual,0.000000
Addition Hills,2015-06-30,2015,7,fitted,1.312780
Addition Hills,2015-06-30,2015,7,moving_avg_6,2.000000
Addition Hills,2015-07-31,2015,8,actual,3.000000
Addition Hills,2015-07-31,2015,8,fitted,1.079555
Addition Hills,2015-07-31,2015,8,moving_avg_6,2.500000
Addition Hills,2015-08-31,2015,9,actual,1.000000
Addition Hills,2015-08-31,2015,9,fitted,1.151801
Addition Hills,2015-08-31,2015,9,moving_avg_6,2.333333
Addition Hills,2015-09-30,2015,10,actual,3.000000
Addition Hills,2015-09-30,2015,10,fitted,1.320405
Addition Hills,2015-09-30,2015,10,moving_avg_6,2.166667
Addition Hills,2015-10-31,2015,11,actual,5.000000
Addition Hills,2015-10-31,2015,11,fitted,1.402819
Addition Hills,2015-10-31,2015,11,moving_avg_6,2.833333
Addition Hills,2015-11-30,2015,12,actual,3.000000
Addition Hills,2015-11-30,2015,12,fitted,1.846255
Addition Hills,2015-11-30,2015,12,moving_avg_6,2.500000
Addition Hills,2015-12-31,2016,1,actual,5.000000
Addition Hills,2015-12-31,2016,1,fitted,1.816887
Addition Hills,2015-12-31,2016,1,moving_avg_6,3.333333
Addition Hills,2016-01-31,2016,2,actual,2.000000
Addition Hills,2016-01-31,2016,2,fitted,2.100904
Addition Hills,2016-01-31,2016,2,moving_avg_6,3.166667
Addition Hills,2016-02-29,2016,3,actual,1.000000
Addition Hills,2016-02-29,2016,3,fitted,1.668847
Addition Hills,2016-02-29,2016,3,moving_avg_6,3.166667
Addition Hills,2016-03-31,2016,4,actual,0.000000
Addition Hills,2016-03-31,2016,4,fitted,1.435162
Addition Hills,2016-03-31,2016,4,moving_avg_6,2.666667
Addition Hills,2016-04-30,2016,5,actual,0.000000
Addition Hills,2016-04-30,2016,5,fitted,1.304033
Addition Hills,2016-04-30,2016,5,moving_avg_6,1.833333
Addition Hills,2016-05-31,2016,6,actual,0.000000
Addition Hills,2016-05-31,2016,6,fitted,0.960223
Addition Hills,2016-05-31,2016,6,moving_avg_6,1.333333
Addition Hills,2016-06-30,2016,7,actual,0.000000
Addition Hills,2016-06-30,2016,7,fitted,1.157030
Addition Hills,2016-06-30,2016,7,moving_avg_6,0.500000
Addition Hills,2016-07-31,2016,8,actual,2.000000
Addition Hills,2016-07-31,2016,8,fitted,0.793912
Addition Hills,2016-07-31,2016,8,moving_avg_6,0.500000
Addition Hills,2016-08-31,2016,9,actual,1.000000
Addition Hills,2016-08-31,2016,9,fitted,1.186783
Addition Hills,2016-08-31,2016,9,moving_avg_6,0.500000
Addition Hills,2016-09-30,2016,10,actual,1.000000
Addition Hills,2016-09-30,2016,10,fitted,0.979446
Addition Hills,2016-09-30,2016,10,moving_avg_6,0.666667
Addition Hills,2016-10-31,2016,11,actual,3.000000
Addition Hills,2016-10-31,2016,11,fitted,0.924122
Addition Hills,2016-10-31,2016,11,moving_avg_6,1.166667
Addition Hills,2016-11-30,2016,12,actual,1.000000
Addition Hills,2016-11-30,2016,12,fitted,1.247152
Addition Hills,2016-11-30,2016,12,moving_avg_6,1.333333
Addition Hills,2016-12-31,2017,1,actual,0.000000
Addition Hills,2016-12-31,2017,1,fitted,1.025329
Addition Hills,2016-12-31,2017,1,moving_avg_6,1.333333
Addition Hills,2017-01-31,2017,2,actual,3.000000
Addition Hills,2017-01-31,2017,2,fitted,0.911274
Addition Hills,2017-01-31,2017,2,moving_avg_6,1.500000
Addition Hills,2017-02-28,2017,3,actual,1.000000
Addition Hills,2017-02-28,2017,3,fitted,1.344592
Addition Hills,2017-02-28,2017,3,moving_avg_6,1.500000
Addition Hills,2017-03-31,2017,4,actual,2.000000
Addition Hills,2017-03-31,2017,4,fitted,1.299181
Addition Hills,2017-03-31,2017,4,moving_avg_6,1.666667
Addition Hills,2017-04-30,2017,5,actual,1.000000
Addition Hills,2017-04-30,2017,5,fitted,1.424069
Addition Hills,2017-04-30,2017,5,moving_avg_6,1.333333
Addition Hills,2017-05-31,2017,6,actual,1.000000
Addition Hills,2017-05-31,2017,6,fitted,1.301345
Addition Hills,2017-05-31,2017,6,moving_avg_6,1.333333
Addition Hills,2017-06-30,2017,7,actual,1.000000
Addition Hills,2017-06-30,2017,7,fitted,1.281696
Addition Hills,2017-06-30,2017,7,moving_avg_6,1.500000
Addition Hills,2017-07-31,2017,8,actual,2.000000
Addition Hills,2017-07-31,2017,8,fitted,1.061526
Addition Hills,2017-07-31,2017,8,moving_avg_6,1.333333
Addition Hills,2017-08-31,2017,9,actual,0.000000
Addition Hills,2017-08-31,2017,9,fitted,1.293027
Addition Hills,2017-08-31,2017,9,moving_avg_6,1.166667
Addition Hills,2017-09-30,2017,10,actual,0.000000
Addition Hills,2017-09-30,2017,10,fitted,0.944239
Addition Hills,2017-09-30,2017,10,moving_avg_6,0.833333
Addition Hills,2017-10-31,2017,11,actual,1.000000
Addition Hills,2017-10-31,2017,11,fitted,0.740743
Addition Hills,2017-10-31,2017,11,moving_avg_6,0.833333
Addition Hills,2017-11-30,2017,12,actual,2.000000
Addition Hills,2017-11-30,2017,12,fitted,0.985379
Addition Hills,2017-11-30,2017,12,moving_avg_6,1.000000
Addition Hills,2017-12-31,2018,1,actual,4.000000
Addition Hills,2017-12-31,2018,1,fitted,1.235177
Addition Hills,2017-12-31,2018,1,moving_avg_6,1.500000
Addition Hills,2018-01-31,2018,2,actual,1.000000
Addition Hills,2018-01-31,2018,2,fitted,1.221644
Addition Hills,2018-01-31,2018,2,moving_avg_6,1.333333
Addition Hills,2018-02-28,2018,3,actual,2.000000
Addition Hills,2018-02-28,2018,3,fitted,1.176039
Addition Hills,2018-02-28,2018,3,moving_avg_6,1.666667
Addition Hills,2018-03-31,2018,4,actual,0.000000
Addition Hills,2018-03-31,2018,4,fitted,1.229568
Addition Hills,2018-03-31,2018,4,moving_avg_6,1.666667
Addition Hills,2018-04-30,2018,5,actual,2.000000
Addition Hills,2018-04-30,2018,5,fitted,0.970551
Addition Hills,2018-04-30,2018,5,moving_avg_6,1.833333
Addition Hills,2018-05-31,2018,6,actual,4.000000
Addition Hills,2018-05-31,2018,6,fitted,1.232729
Addition Hills,2018-05-31,2018,6,moving_avg_6,2.166667
Addition Hills,2018-06-30,2018,7,actual,1.000000
Addition Hills,2018-06-30,2018,7,fitted,1.490489
Addition Hills,2018-06-30,2018,7,moving_avg_6,1.666667
Addition Hills,2018-07-31,2018,8,actual,2.000000
Addition Hills,2018-07-31,2018,8,fitted,1.186491
