Barangay,Year,Month,Date,Predicted_Cases,Lower_Bound,Upper_Bound,Risk_Level,Model_Used
Barangka Ibaba,2025,11,2025-11-01,0.085148,-0.282337,0.640807,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
Barangka Ibaba,2025,12,2025-12-01,0.085150,-0.282367,0.640881,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
Barangka Ibaba,2026,1,2026-01-01,0.085153,-0.282396,0.640955,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
Barangka Ibaba,2026,2,2026-02-01,0.085150,-0.282428,0.641021,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
Barangka Ibaba,2026,3,2026-03-01,0.085281,-0.282373,0.641289,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
Barangka Ibaba,2026,4,2026-04-01,0.085131,-0.282502,0.641134,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
Barangka Ibaba,2026,5,2026-05-01,0.085153,-0.282519,0.641236,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
Barangka Ibaba,2026,6,2026-06-01,0.084377,-0.283062,0.640133,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
Barangka Ibaba,2026,7,2026-07-01,0.085141,-0.282583,0.641347,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
Barangka Ibaba,2026,8,2026-08-01,0.085054,-0.282672,0.641288,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
Barangka Ibaba,2026,9,2026-09-01,0.085057,-0.282700,0.641363,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
Barangka Ibaba,2026,10,2026-10-01,0.085056,-0.282732,0.641431,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
Barangka Ilaya,2025,10,2025-10-01,0.235867,-0.398763,1.540374,Low-Moderate,SARIMAX(2, 0, 1)(0, 1, 1, 12)
Barangka Ilaya,2025,11,2025-11-01,0.371753,-0.333638,1.823852,Low-Moderate,SARIMAX(2, 0, 1)(0, 1, 1, 12)
Barangka Ilaya,2025,12,2025-12-01,0.142970,-0.444801,1.352994,Very Low,SARIMAX(2, 0, 1)(0, 1, 1, 12)
Barangka Ilaya,2026,1,2026-01-01,0.104202,-0.463677,1.273373,Very Low,SARIMAX(2, 0, 1)(0, 1, 1, 12)
Barangka Ilaya,2026,2,2026-02-01,0.285000,-0.375861,1.645608,Low-Moderate,SARIMAX(2, 0, 1)(0, 1, 1, 12)
Barangka Ilaya,2026,3,2026-03-01,0.287720,-0.374453,1.650833,Low-Moderate,SARIMAX(2, 0, 1)(0, 1, 1, 12)
Barangka Ilaya,2026,4,2026-04-01,0.213472,-0.409725,1.494622,Low-Moderate,SARIMAX(2, 0, 1)(0, 1, 1, 12)
Barangka Ilaya,2026,5,2026-05-01,0.408742,-0.314699,1.895888,Low-Moderate,SARIMAX(2, 0, 1)(0, 1, 1, 12)
